round_name,heat_id,heat_name,competition_competitor_id,bib_number,lap_number,rank,lap_time,total_time,result_diff,json_source
Preliminaries,facc70a8-06d9-42b5-aabf-977ea04e54a1,Heat 5,499b3fda-e391-479f-a02c-df47ec4040b7,109,2,4,10.270,18.350,+0.860,seoul_woman
Preliminaries,facc70a8-06d9-42b5-aabf-977ea04e54a1,Heat 5,499b3fda-e391-479f-a02c-df47ec4040b7,109,3,4,9.790,28.140,+1.540,seoul_woman
Preliminaries,facc70a8-06d9-42b5-aabf-977ea04e54a1,Heat 5,499b3fda-e391-479f-a02c-df47ec4040b7,109,4,4,9.740,37.880,+1.970,seoul_woman
Preliminaries,facc70a8-06d9-42b5-aabf-977ea04e54a1,Heat 5,499b3fda-e391-479f-a02c-df47ec4040b7,109,5,4,10.082,47.962,+2.459,seoul_woman
Preliminaries,90fda20f-6112-4245-81b2-c7f2bdad9f19,Heat 6,1ecda08f-2010-46d9-bf7a-a4696ab84c31,94,1,2,7.590,7.590,+0.080,seoul_woman
Preliminaries,90fda20f-6112-4245-81b2-c7f2bdad9f19,Heat 6,1ecda08f-2010-46d9-bf7a-a4696ab84c31,94,2,2,9.700,17.290,+0.100,seoul_woman
Preliminaries,90fda20f-6112-4245-81b2-c7f2bdad9f19,Heat 6,1ecda08f-2010-46d9-bf7a-a4696ab84c31,94,3,2,9.210,26.500,+0.030,seoul_woman
Preliminaries,90fda20f-6112-4245-81b2-c7f2bdad9f19,Heat 6,1ecda08f-2010-46d9-bf7a-a4696ab84c31,94,4,1,9.310,35.810,0.000,seoul_woman
Preliminaries,90fda20f-6112-4245-81b2-c7f2bdad9f19,Heat 6,1ecda08f-2010-46d9-bf7a-a4696ab84c31,94,5,1,9.615,45.425,0.000,seoul_woman
Preliminaries,90fda20f-6112-4245-81b2-c7f2bdad9f19,Heat 6,70bef581-29d2-476b-9d05-856b8b2b1016,78,1,1,7.510,7.510,0.000,seoul_woman
Preliminaries,90fda20f-6112-4245-81b2-c7f2bdad9f19,Heat 6,70bef581-29d2-476b-9d05-856b8b2b1016,78,2,1,9.680,17.190,0.000,seoul_woman
Preliminaries,90fda20f-6112-4245-81b2-c7f2bdad9f19,Heat 6,70bef581-29d2-476b-9d05-856b8b2b1016,78,3,1,9.280,26.470,0.000,seoul_woman
Preliminaries,90fda20f-6112-4245-81b2-c7f2bdad9f19,Heat 6,70bef581-29d2-476b-9d05-856b8b2b1016,78,4,2,9.500,35.970,+0.160,seoul_woman
Preliminaries,90fda20f-6112-4245-81b2-c7f2bdad9f19,Heat 6,70bef581-29d2-476b-9d05-856b8b2b1016,78,5,2,9.749,45.719,+0.294,seoul_woman
Preliminaries,90fda20f-6112-4245-81b2-c7f2bdad9f19,Heat 6,9a80c6d5-649b-44fe-86d4-fb90b2c8c654,69,1,3,7.620,7.620,+0.110,seoul_woman
Preliminaries,90fda20f-6112-4245-81b2-c7f2bdad9f19,Heat 6,9a80c6d5-649b-44fe-86d4-fb90b2c8c654,69,2,4,10.250,17.870,+0.680,seoul_woman
Preliminaries,90fda20f-6112-4245-81b2-c7f2bdad9f19,Heat 6,9a80c6d5-649b-44fe-86d4-fb90b2c8c654,69,3,4,9.270,27.140,+0.670,seoul_woman
Preliminaries,90fda20f-6112-4245-81b2-c7f2bdad9f19,Heat 6,9a80c6d5-649b-44fe-86d4-fb90b2c8c654,69,4,3,9.420,36.560,+0.750,seoul_woman
Preliminaries,90fda20f-6112-4245-81b2-c7f2bdad9f19,Heat 6,9a80c6d5-649b-44fe-86d4-fb90b2c8c654,69,5,3,9.863,46.423,+0.998,seoul_woman
Preliminaries,90fda20f-6112-4245-81b2-c7f2bdad9f19,Heat 6,e6743169-d987-4228-ba95-6ad0cb5b7ae5,103,1,4,7.840,7.840,+0.330,seoul_woman
Preliminaries,90fda20f-6112-4245-81b2-c7f2bdad9f19,Heat 6,e6743169-d987-4228-ba95-6ad0cb5b7ae5,103,2,3,9.830,17.670,+0.480,seoul_woman
Preliminaries,90fda20f-6112-4245-81b2-c7f2bdad9f19,Heat 6,e6743169-d987-4228-ba95-6ad0cb5b7ae5,103,3,3,9.370,27.040,+0.570,seoul_woman
Preliminaries,90fda20f-6112-4245-81b2-c7f2bdad9f19,Heat 6,e6743169-d987-4228-ba95-6ad0cb5b7ae5,103,4,4,9.760,36.800,+0.990,seoul_woman
Heats,8d6ce0ee-9cef-4419-848c-536ff33e6718,Heat 1,e59a1327-d3f9-484f-a685-4d44a869bfbf,3,1,1,7.130,7.130,0.000,seoul_woman
Heats,8d6ce0ee-9cef-4419-848c-536ff33e6718,Heat 1,e59a1327-d3f9-484f-a685-4d44a869bfbf,3,2,1,9.070,16.200,0.000,seoul_woman
Heats,8d6ce0ee-9cef-4419-848c-536ff33e6718,Heat 1,e59a1327-d3f9-484f-a685-4d44a869bfbf,3,3,1,8.710,24.910,0.000,seoul_woman
Heats,8d6ce0ee-9cef-4419-848c-536ff33e6718,Heat 1,e59a1327-d3f9-484f-a685-4d44a869bfbf,3,4,1,9.040,33.950,0.000,seoul_woman
Heats,8d6ce0ee-9cef-4419-848c-536ff33e6718,Heat 1,e59a1327-d3f9-484f-a685-4d44a869bfbf,3,5,1,9.374,43.324,0.000,seoul_woman
